FIPS_Code,State,Area_Name,Attribute,Value
1001,AL,Autauga County,Rural_Urban_Continuum_Code_2023,2
1001,AL,Autauga County,Urban_Influence_Code_2013,2
1001,AL,Autauga County,Metro_2023,1
1001,AL,Autauga County,Civilian_labor_force_2000,21861
1001,AL,Autauga County,Employed_2000,20971
1001,AL,Autauga County,Unemployed_2000,890
1001,AL,Autauga County,Unemployment_rate_2000,4.1
1001,AL,Autauga County,Civilian_labor_force_2001,22081
1001,AL,Autauga County,Employed_2001,21166
1001,AL,Autauga County,Unemployed_2001,915
1001,AL,Autauga County,Unemployment_rate_2001,4.1
1001,AL,Autauga County,Civilian_labor_force_2002,22161
1001,AL,Autauga County,Employed_2002,21096
1001,AL,Autauga County,Unemployed_2002,1065
1001,AL,Autauga County,Unemployment_rate_2002,4.8
1001,AL,Autauga County,Civilian_labor_force_2003,22695
1001,AL,Autauga County,Employed_2003,21557
1001,AL,Autauga County,Unemployed_2003,1138
1001,AL,Autauga County,Unemployment_rate_2003,5
1001,AL,Autauga County,Civilian_labor_force_2004,23241
1001,AL,Autauga County,Employed_2004,22146
1001,AL,Autauga County,Unemployed_2004,1095
1001,AL,Autauga County,Unemployment_rate_2004,4.7
1001,AL,Autauga County,Civilian_labor_force_2005,23887
1001,AL,Autauga County,Employed_2005,22986
1001,AL,Autauga County,Unemployed_2005,901
1001,AL,Autauga County,Unemployment_rate_2005,3.8
1001,AL,Autauga County,Civilian_labor_force_2006,24425
1001,AL,Autauga County,Employed_2006,23619
1001,AL,Autauga County,Unemployed_2006,806
1001,AL,Autauga County,Unemployment_rate_2006,3.3
1001,AL,Autauga County,Civilian_labor_force_2007,24434
1001,AL,Autauga County,Employed_2007,23610
1001,AL,Autauga County,Unemployed_2007,824
1001,AL,Autauga County,Unemployment_rate_2007,3.4
1001,AL,Autauga County,Civilian_labor_force_2008,24687
1001,AL,Autauga County,Employed_2008,23376
1001,AL,Autauga County,Unemployed_2008,1311
1001,AL,Autauga County,Unemployment_rate_2008,5.3
1001,AL,Autauga County,Civilian_labor_force_2009,24660
1001,AL,Autauga County,Employed_2009,22464
1001,AL,Autauga County,Unemployed_2009,2196
1001,AL,Autauga County,Unemployment_rate_2009,8.9
1001,AL,Autauga County,Civilian_labor_force_2010,25749
1001,AL,Autauga County,Employed_2010,23481
1001,AL,Autauga County,Unemployed_2010,2268
1001,AL,Autauga County,Unemployment_rate_2010,8.8
1001,AL,Autauga County,Civilian_labor_force_2011,25845
1001,AL,Autauga County,Employed_2011,23688
1001,AL,Autauga County,Unemployed_2011,2157
1001,AL,Autauga County,Unemployment_rate_2011,8.3
1001,AL,Autauga County,Civilian_labor_force_2012,25762
1001,AL,Autauga County,Employed_2012,23932
1001,AL,Autauga County,Unemployed_2012,1830
1001,AL,Autauga County,Unemployment_rate_2012,7.1
1001,AL,Autauga County,Civilian_labor_force_2013,25783
1001,AL,Autauga County,Employed_2013,24155
1001,AL,Autauga County,Unemployed_2013,1628
1001,AL,Autauga County,Unemployment_rate_2013,6.3
1001,AL,Autauga County,Civilian_labor_force_2014,25639
1001,AL,Autauga County,Employed_2014,24150
1001,AL,Autauga County,Unemployed_2014,1489
1001,AL,Autauga County,Unemployment_rate_2014,5.8
1001,AL,Autauga County,Civilian_labor_force_2015,25541
1001,AL,Autauga County,Employed_2015,24206
1001,AL,Autauga County,Unemployed_2015,1335
1001,AL,Autauga County,Unemployment_rate_2015,5.2
1001,AL,Autauga County,Civilian_labor_force_2016,25710
1001,AL,Autauga County,Employed_2016,24395
1001,AL,Autauga County,Unemployed_2016,1315
1001,AL,Autauga County,Unemployment_rate_2016,5.1
1001,AL,Autauga County,Civilian_labor_force_2017,26269
1001,AL,Autauga County,Employed_2017,25224
1001,AL,Autauga County,Unemployed_2017,1045
1001,AL,Autauga County,Unemployment_rate_2017,4
1001,AL,Autauga County,Civilian_labor_force_2018,26471
1001,AL,Autauga County,Employed_2018,25515
1001,AL,Autauga County,Unemployed_2018,956
1001,AL,Autauga County,Unemployment_rate_2018,3.6
1001,AL,Autauga County,Civilian_labor_force_2019,26683
1001,AL,Autauga County,Employed_2019,25914
1001,AL,Autauga County,Unemployed_2019,769
1001,AL,Autauga County,Unemployment_rate_2019,2.9
1001,AL,Autauga County,Civilian_labor_force_2020,26350
1001,AL,Autauga County,Employed_2020,24955
1001,AL,Autauga County,Unemployed_2020,1395
1001,AL,Autauga County,Unemployment_rate_2020,5.3
1001,AL,Autauga County,Civilian_labor_force_2021,26429
1001,AL,Autauga County,Employed_2021,25698
1001,AL,Autauga County,Unemployed_2021,731
1001,AL,Autauga County,Unemployment_rate_2021,2.8
1001,AL,Autauga County,Civilian_labor_force_2022,26656
1001,AL,Autauga County,Employed_2022,26065
1001,AL,Autauga County,Unemployed_2022,591
1001,AL,Autauga County,Unemployment_rate_2022,2.2
1001,AL,Autauga County,Civilian_labor_force_2023,27000
1001,AL,Autauga County,Employed_2023,26409
1001,AL,Autauga County,Unemployed_2023,591
1001,AL,Autauga County,Unemployment_rate_2023,2.2
1001,AL,Autauga County,Median_Household_Income_2022,70148
1001,AL,Autauga County,Med_HH_Income_Percent_of_State_Total_2022,117.5
1003,AL,Baldwin County,Rural_Urban_Continuum_Code_2023,3
1003,AL,Baldwin County,Urban_Influence_Code_2013,2
1003,AL,Baldwin County,Metro_2023,1
1003,AL,Baldwin County,Civilian_labor_force_2000,69979
1003,AL,Baldwin County,Employed_2000,67370
1003,AL,Baldwin County,Unemployed_2000,2609
1003,AL,Baldwin County,Unemployment_rate_2000,3.7
1003,AL,Baldwin County,Civilian_labor_force_2001,69569
1003,AL,Baldwin County,Employed_2001,66545
1003,AL,Baldwin County,Unemployed_2001,3024
1003,AL,Baldwin County,Unemployment_rate_2001,4.3
1003,AL,Baldwin County,Civilian_labor_force_2002,69379
1003,AL,Baldwin County,Employed_2002,65881
1003,AL,Baldwin County,Unemployed_2002,3498
1003,AL,Baldwin County,Unemployment_rate_2002,5
1003,AL,Baldwin County,Civilian_labor_force_2003,72598
1003,AL,Baldwin County,Employed_2003,69010
1003,AL,Baldwin County,Unemployed_2003,3588
1003,AL,Baldwin County,Unemployment_rate_2003,4.9
1003,AL,Baldwin County,Civilian_labor_force_2004,74843
1003,AL,Baldwin County,Employed_2004,71061
1003,AL,Baldwin County,Unemployed_2004,3782
1003,AL,Baldwin County,Unemployment_rate_2004,5.1
1003,AL,Baldwin County,Civilian_labor_force_2005,76608
1003,AL,Baldwin County,Employed_2005,73581
1003,AL,Baldwin County,Unemployed_2005,3027
1003,AL,Baldwin County,Unemployment_rate_2005,4
1003,AL,Baldwin County,Civilian_labor_force_2006,79806
1003,AL,Baldwin County,Employed_2006,77263
1003,AL,Baldwin County,Unemployed_2006,2543
1003,AL,Baldwin County,Unemployment_rate_2006,3.2
1003,AL,Baldwin County,Civilian_labor_force_2007,82829
1003,AL,Baldwin County,Employed_2007,80213
1003,AL,Baldwin County,Unemployed_2007,2616
1003,AL,Baldwin County,Unemployment_rate_2007,3.2
1003,AL,Baldwin County,Civilian_labor_force_2008,83205
1003,AL,Baldwin County,Employed_2008,79222
1003,AL,Baldwin County,Unemployed_2008,3983
1003,AL,Baldwin County,Unemployment_rate_2008,4.8
1003,AL,Baldwin County,Civilian_labor_force_2009,82314
1003,AL,Baldwin County,Employed_2009,74950
1003,AL,Baldwin County,Unemployed_2009,7364
1003,AL,Baldwin County,Unemployment_rate_2009,8.9
1003,AL,Baldwin County,Civilian_labor_force_2010,83551
1003,AL,Baldwin County,Employed_2010,75283
1003,AL,Baldwin County,Unemployed_2010,8268
1003,AL,Baldwin County,Unemployment_rate_2010,9.9
1003,AL,Baldwin County,Civilian_labor_force_2011,85077
1003,AL,Baldwin County,Employed_2011,77459
1003,AL,Baldwin County,Unemployed_2011,7618
1003,AL,Baldwin County,Unemployment_rate_2011,9
1003,AL,Baldwin County,Civilian_labor_force_2012,84507
1003,AL,Baldwin County,Employed_2012,77973
1003,AL,Baldwin County,Unemployed_2012,6534
1003,AL,Baldwin County,Unemployment_rate_2012,7.7
1003,AL,Baldwin County,Civilian_labor_force_2013,85206
1003,AL,Baldwin County,Employed_2013,79466
1003,AL,Baldwin County,Unemployed_2013,5740
1003,AL,Baldwin County,Unemployment_rate_2013,6.7
1003,AL,Baldwin County,Civilian_labor_force_2014,86546
1003,AL,Baldwin County,Employed_2014,81265
1003,AL,Baldwin County,Unemployed_2014,5281
1003,AL,Baldwin County,Unemployment_rate_2014,6.1
1003,AL,Baldwin County,Civilian_labor_force_2015,87493
1003,AL,Baldwin County,Employed_2015,82619
1003,AL,Baldwin County,Unemployed_2015,4874
1003,AL,Baldwin County,Unemployment_rate_2015,5.6
1003,AL,Baldwin County,Civilian_labor_force_2016,89778
1003,AL,Baldwin County,Employed_2016,84972
1003,AL,Baldwin County,Unemployed_2016,4806
1003,AL,Baldwin County,Unemployment_rate_2016,5.4
1003,AL,Baldwin County,Civilian_labor_force_2017,93152
1003,AL,Baldwin County,Employed_2017,89286
1003,AL,Baldwin County,Unemployed_2017,3866
1003,AL,Baldwin County,Unemployment_rate_2017,4.2
1003,AL,Baldwin County,Civilian_labor_force_2018,96235
1003,AL,Baldwin County,Employed_2018,92734
1003,AL,Baldwin County,Unemployed_2018,3501
1003,AL,Baldwin County,Unemployment_rate_2018,3.6
1003,AL,Baldwin County,Civilian_labor_force_2019,98917
1003,AL,Baldwin County,Employed_2019,96023
1003,AL,Baldwin County,Unemployed_2019,2894
1003,AL,Baldwin County,Unemployment_rate_2019,2.9
1003,AL,Baldwin County,Civilian_labor_force_2020,98695
1003,AL,Baldwin County,Employed_2020,92639
1003,AL,Baldwin County,Unemployed_2020,6056
1003,AL,Baldwin County,Unemployment_rate_2020,6.1
1003,AL,Baldwin County,Civilian_labor_force_2021,99520
1003,AL,Baldwin County,Employed_2021,96619
1003,AL,Baldwin County,Unemployed_2021,2901
1003,AL,Baldwin County,Unemployment_rate_2021,2.9
1003,AL,Baldwin County,Civilian_labor_force_2022,102280
1003,AL,Baldwin County,Employed_2022,99930
1003,AL,Baldwin County,Unemployed_2022,2350
1003,AL,Baldwin County,Unemployment_rate_2022,2.3
1003,AL,Baldwin County,Civilian_labor_force_2023,104409
1003,AL,Baldwin County,Employed_2023,102029
1003,AL,Baldwin County,Unemployed_2023,2380
1003,AL,Baldwin County,Unemployment_rate_2023,2.3
1003,AL,Baldwin County,Median_Household_Income_2022,71704
1003,AL,Baldwin County,Med_HH_Income_Percent_of_State_Total_2022,120.1
1005,AL,Barbour County,Rural_Urban_Continuum_Code_2023,6
1005,AL,Barbour County,Urban_Influence_Code_2013,6
1005,AL,Barbour County,Metro_2023,0
1005,AL,Barbour County,Civilian_labor_force_2000,11449
1005,AL,Barbour County,Employed_2000,10812
1005,AL,Barbour County,Unemployed_2000,637
1005,AL,Barbour County,Unemployment_rate_2000,5.6
1005,AL,Barbour County,Civilian_labor_force_2001,11324
1005,AL,Barbour County,Employed_2001,10468
1005,AL,Barbour County,Unemployed_2001,856
1005,AL,Barbour County,Unemployment_rate_2001,7.6
1005,AL,Barbour County,Civilian_labor_force_2002,11006
1005,AL,Barbour County,Employed_2002,10154
1005,AL,Barbour County,Unemployed_2002,852
1005,AL,Barbour County,Unemployment_rate_2002,7.7
1005,AL,Barbour County,Civilian_labor_force_2003,11019
1005,AL,Barbour County,Employed_2003,10241
1005,AL,Barbour County,Unemployed_2003,778
1005,AL,Barbour County,Unemployment_rate_2003,7.1
1005,AL,Barbour County,Civilian_labor_force_2004,10639
1005,AL,Barbour County,Employed_2004,9884
1005,AL,Barbour County,Unemployed_2004,755
1005,AL,Barbour County,Unemployment_rate_2004,7.1
1005,AL,Barbour County,Civilian_labor_force_2005,10730
1005,AL,Barbour County,Employed_2005,10114
1005,AL,Barbour County,Unemployed_2005,616
1005,AL,Barbour County,Unemployment_rate_2005,5.7
1005,AL,Barbour County,Civilian_labor_force_2006,10713
1005,AL,Barbour County,Employed_2006,10110
1005,AL,Barbour County,Unemployed_2006,603
1005,AL,Barbour County,Unemployment_rate_2006,5.6
1005,AL,Barbour County,Civilian_labor_force_2007,10363
1005,AL,Barbour County,Employed_2007,9698
1005,AL,Barbour County,Unemployed_2007,665
1005,AL,Barbour County,Unemployment_rate_2007,6.4
1005,AL,Barbour County,Civilian_labor_force_2008,10175
1005,AL,Barbour County,Employed_2008,9249
1005,AL,Barbour County,Unemployed_2008,926
1005,AL,Barbour County,Unemployment_rate_2008,9.1
1005,AL,Barbour County,Civilian_labor_force_2009,9944
1005,AL,Barbour County,Employed_2009,8635
1005,AL,Barbour County,Unemployed_2009,1309
1005,AL,Barbour County,Unemployment_rate_2009,13.2
1005,AL,Barbour County,Civilian_labor_force_2010,10219
1005,AL,Barbour County,Employed_2010,8978
1005,AL,Barbour County,Unemployed_2010,1241
1005,AL,Barbour County,Unemployment_rate_2010,12.1
1005,AL,Barbour County,Civilian_labor_force_2011,9843
1005,AL,Barbour County,Employed_2011,8716
1005,AL,Barbour County,Unemployed_2011,1127
1005,AL,Barbour County,Unemployment_rate_2011,11.4
1005,AL,Barbour County,Civilian_labor_force_2012,9377
1005,AL,Barbour County,Employed_2012,8273
1005,AL,Barbour County,Unemployed_2012,1104
1005,AL,Barbour County,Unemployment_rate_2012,11.8
1005,AL,Barbour County,Civilian_labor_force_2013,9096
1005,AL,Barbour County,Employed_2013,8152
1005,AL,Barbour County,Unemployed_2013,944
1005,AL,Barbour County,Unemployment_rate_2013,10.4
1005,AL,Barbour County,Civilian_labor_force_2014,8859
1005,AL,Barbour County,Employed_2014,7930
1005,AL,Barbour County,Unemployed_2014,929
1005,AL,Barbour County,Unemployment_rate_2014,10.5
1005,AL,Barbour County,Civilian_labor_force_2015,8590
1005,AL,Barbour County,Employed_2015,7823
1005,AL,Barbour County,Unemployed_2015,767
1005,AL,Barbour County,Unemployment_rate_2015,8.9
1005,AL,Barbour County,Civilian_labor_force_2016,8334
1005,AL,Barbour County,Employed_2016,7638
1005,AL,Barbour County,Unemployed_2016,696
1005,AL,Barbour County,Unemployment_rate_2016,8.4
1005,AL,Barbour County,Civilian_labor_force_2017,8415
1005,AL,Barbour County,Employed_2017,7914
1005,AL,Barbour County,Unemployed_2017,501
1005,AL,Barbour County,Unemployment_rate_2017,6
1005,AL,Barbour County,Civilian_labor_force_2018,8505
1005,AL,Barbour County,Employed_2018,8068
1005,AL,Barbour County,Unemployed_2018,437
1005,AL,Barbour County,Unemployment_rate_2018,5.1
1005,AL,Barbour County,Civilian_labor_force_2019,8637
1005,AL,Barbour County,Employed_2019,8290
1005,AL,Barbour County,Unemployed_2019,347
1005,AL,Barbour County,Unemployment_rate_2019,4
1005,AL,Barbour County,Civilian_labor_force_2020,8659
1005,AL,Barbour County,Employed_2020,7995
1005,AL,Barbour County,Unemployed_2020,664
1005,AL,Barbour County,Unemployment_rate_2020,7.7
1005,AL,Barbour County,Civilian_labor_force_2021,8243
1005,AL,Barbour County,Employed_2021,7787
1005,AL,Barbour County,Unemployed_2021,456
1005,AL,Barbour County,Unemployment_rate_2021,5.5
1005,AL,Barbour County,Civilian_labor_force_2022,8139
1005,AL,Barbour County,Employed_2022,7813
1005,AL,Barbour County,Unemployed_2022,326
1005,AL,Barbour County,Unemployment_rate_2022,4
1005,AL,Barbour County,Civilian_labor_force_2023,7944
1005,AL,Barbour County,Employed_2023,7592
1005,AL,Barbour County,Unemployed_2023,352
1005,AL,Barbour County,Unemployment_rate_2023,4.4
1005,AL,Barbour County,Median_Household_Income_2022,41151
1005,AL,Barbour County,Med_HH_Income_Percent_of_State_Total_2022,68.9
